0	7583
0	11183
0	19157
1	14158
9	93
9	11170
9	15780
9	19427
9	22605
9	25030
11	3845
11	15761
11	19504
11	23148
12	22878
13	1394
13	4537
13	11788
13	13083
13	13129
14	11101
14	19068
14	24713
14	25527
15	7903
16	20230
32	557
32	760
32	1173
32	1640
32	2199
32	2728
32	2939
32	3359
32	4151
32	4167
32	4498
32	4500
32	6166
32	6597
32	6817
32	7943
32	8866
32	9772
32	11228
32	11459
32	12352
32	12483
32	12666
32	12768
32	12838
32	14527
32	14794
32	14990
32	15646
32	17642
32	17679
32	18706
32	18853
32	18881
32	19410
32	19948
32	20095
32	20549
32	20622
32	20999
32	21268
32	21495
32	21834
32	22678
32	22874
32	23280
32	24942
32	25333
32	25745
33	557
33	760
33	1640
33	2199
33	2728
33	2939
33	3359
33	4151
33	4498
33	6166
33	6597
33	6817
33	7943
33	8866
33	9772
33	11228
33	11459
33	12352
33	12483
33	12768
33	12838
33	14527
33	14794
33	14990
33	15646
33	17642
33	17679
33	18881
33	19410
33	19948
33	20095
33	20549
33	20622
33	20999
33	21268
33	21495
33	21834
33	22874
33	23280
33	24942
33	25333
33	25745
49	2697
49	6562
49	7566
49	13177
49	16135
49	23738
49	25456
52	344
52	345
52	11596
52	22087
52	23287
52	24947
52	25764
57	4714
57	15546
58	3303
61	2285
61	16116
62	17232
65	8241
65	8849
65	12142
65	17366
67	8729
67	11720
68	5274
68	19987
69	3831
72	18158
75	1982
75	2325
75	2436
75	2517
75	2522
75	4342
75	4742
75	5197
75	6327
75	6499
75	7184
75	7431
75	7622
75	8714
75	9300
75	9643
75	9856
75	10337
75	12494
75	12697
75	14635
75	14753
75	14997
75	15231
75	15232
75	15444
75	15920
75	16641
75	17794
75	18212
75	18440
75	18765
75	19101
75	19433
75	19632
75	19926
75	20561
75	20563
75	21165
75	22491
75	23699
75	24705
80	4005
80	16595
80	17406
80	20315
80	21608
82	3035
82	15511
84	148
84	19570
85	12235
93	9
93	2697
93	11170
93	15780
100	2142
100	3370
100	13333
100	25159
101	5584
102	5255
102	10666
109	838
109	4812
109	6898
109	9580
109	13507
109	15237
109	15576
109	16908
110	4714
111	7294
111	14168
115	3100
115	6907
115	8185
115	16864
122	1763
122	3903
122	4089
122	6395
122	9876
122	12298
122	12662
122	14586
122	15803
122	19932
122	26163
127	17291
127	18574
127	19391
127	22449
127	23973
127	24109
128	8395
128	14089
128	17273
128	17430
129	16873
129	18613
148	84
148	3092
148	11405
148	19570
150	15515
150	19410
151	11305
151	17111
152	3791
152	17181
165	987
165	1235
165	9787
165	10117
165	12688
165	18866
165	20628
165	23350
166	19662
166	20049
166	23601
170	5181
172	202
172	338
172	1061
172	1845
172	3926
172	4499
172	6879
172	8267
172	14529
172	17738
172	18082
172	18130
172	18636
172	18930
172	19560
172	22588
172	22780
174	1808
174	21373
175	17448
175	22907
179	664
179	1010
179	4413
179	8109
180	10806
180	22904
180	23025
180	23101
181	8615
182	20087
182	20106
182	22353
184	7497
184	8838
186	13689
186	17861
187	479
187	6695
187	7000
187	8138
187	9007
187	9008
187	9195
187	9458
187	9709
187	16869
187	17009
187	19573
187	19665
187	24848
192	3703
192	8378
192	13601
192	23695
192	24088
192	24372
201	3100
201	6499
201	10577
201	13976
201	18744
201	19148
201	21818
202	172
